Heart_Rate_bpm,Temperature_C,Humidity_percent,Respiratory_Rate_breaths_min,Health_Status
47,39,71,17,Respiratory_Infection
68,37,47,22,Respiratory_Infection
72,37,50,22,Normal
103,38,78,18,Respiratory_Infection
83,39,42,20,Fever
79,38,62,10,Respiratory_Infection
69,38,50,19,Normal
79,38,75,12,Normal
62,38,93,25,Fever
50,40,52,17,Respiratory_Infection
38,40,88,19,Normal
88,39,68,14,Respiratory_Infection
61,36,72,17,Respiratory_Infection
58,39,105,12,Fever
74,39,88,16,Fever
61,40,49,24,Fever
71,38,55,14,Heat_Stress
75,39,63,22,Fever
76,37,53,16,Respiratory_Infection
76,37,73,20,Respiratory_Infection
92,37,83,17,Respiratory_Infection
79,39,73,27,Fever
61,39,51,22,Heat_Stress
68,40,36,26,Heat_Stress
72,38,73,24,Normal
76,39,49,14,Respiratory_Infection
73,40,47,10,Heat_Stress
71,38,87,16,Respiratory_Infection
50,40,76,21,Normal
81,38,69,24,Respiratory_Infection
74,39,81,29,Normal
70,37,28,21,Heat_Stress
95,37,58,13,Heat_Stress
79,38,32,20,Normal
83,38,72,13,Heat_Stress
64,39,74,14,Normal
76,39,66,19,Fever
54,38,72,24,Fever
79,38,52,13,Normal
89,37,52,15,Normal
70,38,64,16,Respiratory_Infection
69,37,65,18,Respiratory_Infection
64,38,50,20,Fever
73,38,60,29,Respiratory_Infection
63,36,75,20,Respiratory_Infection
74,39,44,27,Fever
79,38,49,21,Normal
83,36,56,13,Heat_Stress
87,38,71,22,Fever
56,41,57,15,Heat_Stress
56,37,79,23,Respiratory_Infection
55,38,76,12,Fever
79,39,60,16,Fever
54,40,51,2,Heat_Stress
68,37,59,31,Normal
85,39,77,22,Heat_Stress
56,39,41,16,Respiratory_Infection
69,37,71,26,Heat_Stress
65,39,97,25,Heat_Stress
82,38,57,15,Normal
65,38,64,20,Fever
78,40,71,25,Respiratory_Infection
70,39,78,19,Normal
79,38,62,10,Respiratory_Infection
72,38,76,22,Fever
64,38,73,31,Heat_Stress
91,39,97,26,Heat_Stress
74,39,73,15,Fever
80,35,57,21,Normal
54,40,90,29,Respiratory_Infection
55,40,74,22,Respiratory_Infection
94,39,78,15,Normal
77,39,58,21,Respiratory_Infection
69,39,65,23,Fever
93,39,78,15,Heat_Stress
34,40,87,17,Normal
41,40,65,22,Normal
80,38,92,18,Fever
65,40,65,13,Respiratory_Infection
68,40,73,34,Respiratory_Infection
95,37,58,13,Heat_Stress
71,37,52,13,Respiratory_Infection
82,38,60,16,Normal
70,39,50,22,Respiratory_Infection
59,38,62,16,Normal
76,39,40,26,Heat_Stress
74,40,90,31,Fever
48,38,51,23,Fever
61,37,31,20,Respiratory_Infection
62,38,112,18,Normal
66,37,63,15,Respiratory_Infection
72,38,75,9,Fever
69,39,71,16,Normal
49,40,75,22,Heat_Stress
70,39,56,19,Normal
60,39,69,22,Normal
84,38,70,20,Normal
68,39,36,24,Heat_Stress
51,38,53,18,Heat_Stress
62,40,68,19,Respiratory_Infection
105,38,69,19,Normal
65,39,72,16,Normal
44,38,88,16,Respiratory_Infection
60,39,74,26,Heat_Stress
48,38,83,23,Heat_Stress
52,37,51,12,Fever
68,37,31,15,Respiratory_Infection
83,38,57,27,Normal
71,38,70,22,Fever
70,39,93,5,Normal
76,38,95,13,Normal
70,40,53,12,Fever
70,37,90,14,Respiratory_Infection
57,39,63,16,Normal
80,38,80,27,Fever
87,39,102,19,Fever
26,37,54,21,Heat_Stress
64,37,70,23,Normal
38,37,65,21,Normal
42,38,77,15,Fever
49,39,62,24,Respiratory_Infection
79,40,57,24,Heat_Stress
78,40,81,24,Heat_Stress
62,39,61,24,Normal
75,37,55,26,Fever
79,37,55,26,Normal
78,38,68,24,Normal
61,39,51,22,Heat_Stress
93,38,70,17,Fever
89,39,67,26,Fever
49,38,104,1,Fever
61,38,64,23,Normal
78,38,104,25,Fever
53,38,79,22,Heat_Stress
66,39,52,14,Respiratory_Infection
64,39,60,22,Fever
71,38,116,19,Normal
75,38,57,25,Heat_Stress
97,39,73,12,Respiratory_Infection
58,39,58,19,Heat_Stress
81,39,54,22,Heat_Stress
73,39,79,24,Heat_Stress
89,38,87,22,Respiratory_Infection
74,37,77,16,Heat_Stress
68,40,30,27,Normal
59,39,76,18,Respiratory_Infection
52,41,77,15,Normal
62,40,71,21,Respiratory_Infection
86,40,81,18,Heat_Stress
76,40,65,22,Respiratory_Infection
92,37,72,14,Respiratory_Infection
75,40,89,22,Respiratory_Infection
92,37,57,19,Respiratory_Infection
81,38,93,24,Respiratory_Infection
56,38,69,24,Respiratory_Infection
54,38,72,23,Respiratory_Infection
84,40,94,16,Heat_Stress
89,38,76,21,Heat_Stress
